churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
0,20,NA,550,0,0,135,0,0,286,0,0,21,1,1,1,1,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,66,2.2,1
0,27,O,567,2,1,48,2,0,127,0,0,18,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,30,1,0
0,47,NA,NA,11,1,20,11,0,30,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,11,0.69,1
1,44,NA,NA,0,0,0,0,1,4,0,0,1,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Libra,0,0,2,0.07,0
1,24,NA,479,6,2,24,6,0,55,0,0,4,1,0,0,0,1,0,Weekly,0,0,0,0,Capricorn,0,0,27,0.9,0
0,31,R,565,17,2,62,17,0,180,0,0,22,1,1,1,0,1,0,NA,0,0,0,0,Libra,0,0,43,1.43,0
0,20,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Sagittarius,1,0,NA,0,0
1,30,NA,NA,2,1,0,2,0,9,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,2,0.07,0
1,59,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,NA,0,0
1,21,NA,637,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,NA,0,0
0,37,R,627,0,0,39,0,0,74,0,0,6,1,1,1,1,0,2,NA,0,1,0,0,Scorpio,0,0,40,1.33,0
1,30,R,505,6,0,11,6,0,20,0,0,3,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Gemini,0,0,12,0.4,0
0,36,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1,0.5,0
1,44,O,551,0,0,0,0,3,4,3,1,4,1,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,0,1,5,0.17,0
1,52,NA,518,0,0,0,0,0,74,0,0,1,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,1,0,39,1.3,0
1,25,NA,529,0,0,0,0,0,32,0,0,7,1,0,0,0,1,0,Monthly,0,0,0,0,Virgo,0,0,14,0.47,0
1,22,NA,508,0,0,0,0,1,67,1,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,27,0.9,0
0,38,NA,NA,0,0,27,0,0,30,0,0,2,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,8,1,0
0,29,NA,575,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Monthly,0,0,0,0,Cancer,0,0,1,0.25,0
0,25,NA,489,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,2,0.14,0
1,36,NA,582,0,0,83,0,0,153,0,0,15,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,29,0.97,1
0,38,NA,NA,0,0,11,0,0,28,0,0,1,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,8,0.27,0
0,45,R,610,48,0,76,48,0,204,0,0,58,1,1,1,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,58,1.93,1
0,24,NA,NA,0,0,2,0,0,4,0,0,0,1,1,1,0,1,2,Monthly,0,0,0,0,Pisces,0,0,1,0.03,0
1,31,NA,600,0,0,0,0,0,63,0,0,2,1,1,1,1,0,2,Weekly,0,0,0,0,Leo,1,0,21,0.7,0
0,45,R,554,0,0,0,0,0,170,0,0,16,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,59,1.97,0
0,28,R,597,0,0,0,0,0,207,0,0,4,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,65,2.17,0
0,24,NA,518,0,0,37,0,0,60,0,0,4,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,NA,0,0,23,0.77,1
1,42,NA,449,0,0,0,0,0,5,0,0,0,1,1,1,0,1,0,NA,0,0,0,0,Scorpio,0,0,7,0.23,0
0,27,R,590,0,0,0,0,2,206,0,0,22,1,1,1,0,1,0,NA,0,0,0,0,Taurus,0,0,67,2.23,0
0,26,R,647,0,0,57,0,0,154,0,0,2,1,1,1,0,1,0,Bi-Weekly,0,0,1,0,Aquarius,1,0,39,1.3,1
0,25,NA,NA,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,NA,0,0
0,32,R,440,0,0,87,0,0,112,0,0,8,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,37,1.23,1
0,21,NA,603,1,0,26,1,0,133,0,0,6,1,1,1,0,1,0,NA,0,0,0,0,Leo,0,0,38,1.27,1
0,33,NA,NA,0,0,68,0,0,169,0,0,8,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,48,1.6,0
1,38,R,519,12,2,79,12,0,105,0,0,12,1,1,1,1,0,4,NA,0,0,0,0,Pisces,0,0,37,1.23,1
0,29,R,634,2,0,57,2,0,185,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,46,1.53,1
0,43,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2,0.07,0
0,33,NA,NA,0,0,24,0,0,24,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,11,0.37,0
1,24,R,529,3,0,56,3,0,93,0,0,8,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,25,0.83,0
0,25,NA,NA,0,0,10,0,0,20,0,0,1,1,1,1,1,0,0,Weekly,0,0,0,0,NA,0,0,6,0.2,1
1,19,O,NA,0,0,1,0,0,2,0,0,0,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,NA,0,0
0,40,NA,532,0,0,22,0,0,40,0,0,2,1,1,1,0,1,0,Weekly,0,1,0,0,NA,0,0,17,0.57,1
1,22,NA,417,0,0,0,0,0,11,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2,0.07,1
0,36,NA,NA,0,0,24,0,0,69,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,18,0.62,0
0,27,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Gemini,1,0,NA,0,0
1,48,O,507,33,0,16,31,0,185,0,0,14,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,NA,0,0,47,1.57,0
1,39,NA,555,0,0,8,0,0,23,0,0,3,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,4,0.13,0
0,32,R,503,0,0,59,0,2,289,0,0,14,1,1,1,1,0,0,NA,0,0,0,0,Scorpio,0,0,67,2.23,1
0,25,NA,NA,0,0,2,0,0,5,0,0,0,1,0,0,0,1,0,Monthly,0,0,0,0,Libra,0,0,2,0.07,0
0,49,NA,NA,5,1,19,5,0,35,0,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,9,0.69,1
1,25,NA,506,14,5,23,14,0,43,0,0,11,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,11,0.37,1
0,21,R,560,11,2,53,11,0,145,0,0,11,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,28,0.93,0
1,30,O,604,1,1,48,1,0,224,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,53,1.77,1
0,26,O,575,0,0,0,0,0,57,0,0,5,1,1,1,1,0,0,NA,0,0,0,0,Aquarius,0,0,29,0.97,0
0,33,R,475,0,0,116,0,0,205,0,0,7,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,61,2.03,1
1,30,NA,537,0,0,0,0,0,16,0,0,1,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,NA,0,1,14,0.47,0
1,42,R,476,0,0,5,0,0,50,0,0,0,1,0,0,1,0,0,NA,0,0,0,0,Taurus,0,0,14,0.47,0
1,20,NA,NA,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2,0.07,0
1,34,NA,473,0,0,0,0,0,27,0,0,1,1,1,1,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,20,0.67,0
0,26,R,527,10,0,37,10,0,77,0,0,4,1,0,0,1,1,5,Semi-Monthly,0,0,0,0,Cancer,0,0,14,0.67,1
0,31,NA,NA,8,3,51,8,0,101,0,0,7,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,22,0.81,1
0,29,NA,NA,0,0,7,0,0,12,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,6,0.46,0
0,30,R,595,13,0,89,12,0,257,0,0,44,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,NA,0,0,65,2.17,0
0,20,R,523,3,0,63,3,0,107,0,0,6,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,37,1.23,0
1,23,NA,452,0,0,0,0,0,145,1,0,19,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,51,1.7,0
1,22,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Leo,0,0,1,0,0
0,48,NA,511,0,0,0,0,0,187,0,0,11,1,0,0,1,0,0,Monthly,0,0,0,0,Taurus,0,0,56,1.87,1
1,35,O,728,0,0,0,0,0,36,0,0,15,1,0,0,0,1,0,Monthly,0,0,0,0,Aries,0,0,12,2,1
0,46,R,494,7,2,57,7,0,168,0,0,24,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,33,1.1,0
0,34,R,490,0,0,0,0,1,222,9,0,24,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,63,2.1,0
0,23,NA,521,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,1,0.06,0
0,28,R,582,17,1,82,17,0,233,0,0,18,1,1,1,0,1,0,NA,0,0,0,0,Libra,0,0,58,1.93,0
1,29,NA,NA,0,0,0,0,0,106,0,0,5,1,0,0,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,17,0.57,0
0,43,R,540,3,0,81,3,0,225,0,0,4,1,1,1,1,1,2,NA,0,0,0,0,Aries,0,0,59,1.97,1
0,44,NA,501,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,3,0.1,0
0,33,R,597,0,0,140,0,0,303,0,0,20,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,0,67,2.23,0
0,18,NA,611,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,NA,0,0
1,22,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Aries,0,0,NA,0,0
1,60,R,529,0,0,0,0,0,44,0,0,18,1,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,19,0.63,1
0,39,NA,529,24,1,69,24,0,218,0,0,29,1,1,1,0,1,0,NA,0,0,0,0,Sagittarius,0,0,56,1.87,1
1,35,NA,618,0,0,0,0,0,66,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,1,0,19,0.63,0
0,43,NA,NA,2,1,10,2,0,21,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,4,0,0
0,32,NA,466,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,0,0,0,0,Libra,0,0,NA,0,0
0,26,NA,536,0,0,36,0,0,99,0,0,3,1,1,1,0,1,0,NA,0,0,0,0,Pisces,0,0,37,1.23,0
1,26,R,500,1,0,27,1,0,133,0,0,3,1,0,0,0,1,3,Weekly,0,0,0,0,Leo,0,0,40,1.33,0
0,24,R,679,3,1,82,3,0,177,0,0,13,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,56,1.87,0
1,31,R,NA,0,0,0,0,0,115,0,0,5,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,35,1.17,0
1,25,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,NA,0,0
1,38,NA,524,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,12,0.4,1
0,32,NA,NA,3,0,7,3,0,10,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,4,0.57,0
0,33,NA,NA,0,0,128,0,0,269,0,0,4,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,59,1.97,0
0,32,R,500,24,6,36,24,0,116,0,0,21,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,29,0.97,1
0,47,NA,522,0,0,1,0,0,4,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,NA,0,1
0,26,R,556,1,0,56,1,0,217,0,0,15,1,0,0,0,1,2,NA,0,0,0,0,Sagittarius,0,0,54,1.8,1
1,26,NA,NA,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,1,0,1
0,26,NA,559,0,0,31,0,0,50,0,0,5,1,0,0,1,0,2,Bi-Weekly,0,0,0,0,NA,0,0,20,0.67,1
0,33,NA,556,0,0,32,0,0,60,0,0,2,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,24,0.8,1
1,35,NA,413,0,0,102,0,0,136,0,0,8,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,35,1.17,1
1,22,NA,459,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,NA,0,0
1,27,R,528,0,0,10,0,0,91,0,0,7,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,24,0.8,0
0,27,NA,544,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,6,0.2,0
0,24,R,522,2,2,50,2,0,100,0,0,4,1,0,0,0,1,0,NA,0,0,0,0,Sagittarius,0,0,31,1.03,1
0,21,NA,545,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,4,1,1
0,25,R,485,2,0,22,2,0,15,0,0,2,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,8,0.27,1
1,26,R,545,10,1,14,10,0,40,0,0,1,1,0,0,0,1,0,NA,0,0,0,0,Gemini,0,0,12,0.4,0
0,27,R,481,0,0,1,0,0,83,0,0,1,1,0,0,0,1,0,Weekly,0,0,0,0,Pisces,1,0,33,1.1,1
0,42,NA,NA,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,NA,0,0
0,22,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,NA,0,0
1,22,R,440,9,2,107,9,0,170,0,0,32,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,39,1.3,1
1,36,NA,NA,0,0,0,0,2,23,0,0,2,1,1,1,1,0,2,Weekly,0,0,0,0,Cancer,0,0,21,0.7,0
0,52,NA,543,0,0,40,0,0,70,0,0,6,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Aries,0,0,28,0.93,0
1,27,NA,NA,0,0,12,0,0,26,0,0,2,1,1,1,1,0,0,Weekly,0,0,0,0,Gemini,1,0,11,0.44,0
0,25,NA,413,0,0,25,0,0,41,0,0,4,1,1,1,0,1,0,NA,0,0,0,0,Scorpio,0,0,12,0.4,1
0,32,NA,441,0,0,23,0,0,50,0,0,1,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,11,0.37,0
0,30,NA,461,41,0,27,41,0,207,0,0,4,1,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,56,1.87,1
1,23,R,636,6,4,59,6,0,159,0,0,11,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,13,1.86,1
0,26,R,607,5,1,93,5,0,252,0,0,11,1,0,0,0,1,0,NA,0,0,0,0,Aries,0,0,65,2.17,1
1,29,R,NA,0,0,0,0,0,177,1,0,28,1,0,0,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,51,1.7,0
0,36,NA,NA,0,0,2,0,0,17,0,0,2,1,0,0,0,1,2,NA,0,0,0,0,Capricorn,0,0,12,0.4,0
1,26,R,545,3,0,38,3,0,84,0,0,7,1,0,0,0,1,0,NA,0,0,0,0,Virgo,0,0,16,1,1
0,20,R,555,1,0,72,1,0,140,0,0,18,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,31,1.03,1
0,32,NA,545,6,0,24,6,0,45,0,0,9,1,1,1,0,1,0,NA,0,0,0,0,Aquarius,0,0,14,0.58,0
1,45,R,552,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,3,0.1,0
0,25,O,614,0,0,67,0,0,250,0,0,10,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,1,0,61,2.03,0
0,35,R,528,15,0,3,15,1,300,0,0,34,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,65,2.17,0
0,28,O,NA,0,0,90,0,0,195,0,0,2,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,55,1.83,1
1,22,NA,555,0,0,0,0,0,128,0,0,4,1,1,1,1,0,2,Bi-Weekly,0,0,1,0,Aries,0,0,47,1.57,0
0,28,NA,527,59,0,63,55,0,255,0,0,21,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,67,2.23,0
0,20,NA,501,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Taurus,0,0,3,0.27,1
1,30,R,580,0,0,34,0,0,59,0,0,2,1,0,0,0,1,2,Weekly,0,0,0,0,Pisces,0,0,19,0.63,1
0,40,O,453,8,0,52,8,0,294,0,0,38,1,1,1,1,0,0,NA,0,0,0,0,Sagittarius,1,0,67,2.23,0
0,31,O,NA,0,0,0,0,0,104,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,42,1.4,0
1,27,O,522,1,0,13,1,0,27,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,NA,0,0,5,0.17,1
1,36,R,587,0,0,0,0,0,235,0,1,9,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,64,2.13,0
0,36,R,590,0,0,8,0,0,16,0,0,0,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Cancer,0,0,4,0.13,0
1,30,R,437,2,0,62,2,0,99,0,0,16,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,19,0.63,1
0,42,R,512,2,0,47,2,0,280,0,0,24,1,1,1,1,0,2,NA,0,0,0,0,Virgo,1,0,56,1.87,1
0,72,NA,554,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Leo,0,0,NA,0,0
1,23,NA,463,0,0,12,0,0,11,0,0,1,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,12,0.4,1
1,39,R,463,8,3,76,8,0,163,0,0,12,1,0,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,16,0.53,1
1,38,R,472,0,0,0,0,0,20,0,0,9,1,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,23,0.77,0
1,38,NA,550,0,0,0,0,0,22,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,17,0.57,0
0,37,R,587,0,0,0,0,1,236,4,1,19,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,63,2.1,0
1,26,NA,NA,0,0,0,0,0,38,0,0,5,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,14,0.47,0
0,20,NA,655,0,0,47,0,0,148,0,0,11,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,34,1.13,0
1,56,NA,511,1,0,37,1,0,81,0,0,5,1,1,1,1,0,2,Weekly,0,0,0,0,Aries,1,0,16,0.53,1
1,29,NA,NA,11,2,99,11,0,191,0,0,11,1,1,1,1,0,2,NA,0,0,0,0,Aquarius,0,0,31,1.03,0
0,19,R,503,1,0,102,1,0,219,0,0,9,1,1,1,1,1,5,NA,0,0,0,0,NA,0,0,58,1.93,1
1,48,NA,517,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,1,0,NA,0,0
1,39,NA,490,2,0,1,2,0,82,0,0,9,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,14,0.47,1
1,54,O,NA,0,0,0,0,1,11,0,0,7,1,1,1,1,0,2,Monthly,0,0,0,0,Virgo,0,0,4,2,0
0,39,NA,611,0,0,7,0,0,36,0,0,9,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,22,0.73,0
0,24,NA,498,0,0,35,0,0,57,0,0,2,1,0,0,1,0,3,Bi-Weekly,0,0,0,0,Virgo,1,0,25,0.83,0
1,39,NA,535,0,0,0,0,0,201,0,0,5,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,75,2.5,0
0,29,R,601,7,2,52,7,0,71,0,0,12,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,NA,1,0,22,0.73,0
0,21,NA,622,0,0,0,0,0,54,0,0,5,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,15,0.5,0
1,48,R,NA,0,0,0,0,0,82,0,0,6,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,39,1.3,1
1,32,R,525,0,0,0,0,0,134,0,0,4,1,1,1,0,1,0,NA,0,0,0,0,Leo,0,0,41,1.37,0
1,41,R,554,0,0,0,0,0,55,0,0,9,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,24,0.8,0
1,42,R,550,21,3,31,21,0,60,0,0,15,1,1,1,1,1,2,Weekly,0,0,0,0,Capricorn,0,0,24,0.8,1
0,29,O,578,0,0,0,0,0,180,0,0,16,1,1,1,1,0,0,Weekly,0,0,1,0,Cancer,0,0,68,2.27,0
0,21,NA,701,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,NA,0,0,0,0,Scorpio,0,0,NA,0,0
0,25,NA,NA,0,0,27,0,0,65,0,0,1,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,17,0.57,1
1,39,R,522,12,1,8,12,2,147,65,0,24,1,1,1,1,0,0,Weekly,0,0,0,0,Virgo,0,0,44,1.47,1
0,40,R,614,3,0,148,3,0,269,0,0,17,1,0,0,1,0,0,Weekly,0,0,0,0,NA,0,0,64,2.13,0
0,22,R,652,6,1,198,6,0,301,0,0,61,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,65,2.17,0
0,34,NA,NA,0,0,9,0,0,5,0,0,0,1,1,1,0,1,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,4,0.13,0
0,21,R,570,0,0,5,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,NA,1,0,3,0.1,0
0,52,NA,509,1,1,24,1,0,78,0,0,8,1,0,0,1,0,2,Bi-Weekly,0,0,0,0,Gemini,0,0,20,0.77,0
0,27,R,567,0,0,172,0,0,217,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,1,43,1.43,1
0,52,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,NA,0,0
1,36,NA,NA,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,1,0,2,0.13,0
0,23,NA,516,2,0,15,2,0,10,0,0,4,1,0,0,0,1,3,Monthly,0,0,0,0,Sagittarius,0,0,3,0.1,0
1,28,R,448,8,0,20,8,0,51,0,0,1,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,1,0,16,0.53,1
0,57,O,624,54,0,69,54,0,249,0,0,36,1,1,1,1,0,0,Weekly,0,0,0,0,Sagittarius,0,0,63,2.1,0
0,50,NA,498,5,0,71,5,0,136,0,0,5,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Capricorn,0,0,29,1,1
1,29,NA,476,1,1,12,1,0,31,0,0,4,1,1,1,1,0,3,Weekly,0,0,0,0,NA,1,0,2,0.07,0
1,37,O,556,4,0,17,4,0,145,0,0,11,1,0,0,1,0,0,Bi-Weekly,0,0,1,0,Taurus,0,0,42,1.4,0
1,30,R,503,16,1,69,16,0,151,0,0,8,1,1,1,0,1,0,NA,0,0,0,0,Aquarius,0,0,39,1.3,1
